packages_per_hour,safe_roundtrip_km,response_target_min,turnaround_min,redundancy,minimum_hubs,minimum_drones,mean_response_min,max_response_min,mean_oneway_distance_km,max_oneway_distance_km,termination,solve_time_s,selected_hubs,drone_allocation
30,20.0,5.0,30.0,1,7,19,1.837397700234947,3.0289292802718086,0.7536579302114528,1.826036352244628,optimal,14.087198500012164,HUB_006;HUB_014;HUB_016;HUB_040;HUB_041;HUB_042;HUB_056,HUB_006:3;HUB_014:2;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_056:2
30,20.0,5.0,30.0,2,10,21,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301,optimal,9.775939300001482,HUB_006;HUB_014;HUB_015;HUB_035;HUB_040;HUB_041;HUB_042;HUB_043;HUB_046;HUB_049,HUB_006:3;HUB_014:2;HUB_015:3;HUB_035:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:1;HUB_046:1;HUB_049:1
