hajj_zone,grid_size_m,cell_seq,demand_point_id,cell_area_m2,centroid_lat,centroid_lon,camp_accommodation_count,accommodation_count,place_of_worship_count,transport_count,pedestrian_count,support_amenity_count,building_count,dist_nearest_medical_km,dist_nearest_hospital_km,dist_nearest_seasonal_center_km,dist_nearest_ambulance_km,osm_activity_index_raw,exploratory_osm_activity_index,osm_activity_proxy_0_1,demand_weight_uniform,proxy_demand_weight
Haram_Makkah,1000,1,D_1000_Haram_Makkah_0001,1000000.0,21.4111702857443,39.79102796114452,0,0,3,2,1,2,9,0.34592899324773524,1.3631619874059107,19.958721147772394,9.80547712564069,18.25,1.7290383704405494,0.017290383704405495,1.0,1.069161534817622
Haram_Makkah,1000,2,D_1000_Haram_Makkah_0002,1000000.0,21.420204624534243,39.791076601646765,0,0,5,27,6,6,7,0.597500628390057,1.295763355881563,20.344415789356248,9.789582914650929,110.75,10.49265750828991,0.1049265750828991,1.0,1.4197063003315964
Haram_Makkah,1000,3,D_1000_Haram_Makkah_0003,1000000.0,21.429238953483676,39.79112526768852,0,2,8,10,9,0,65,0.2877613481346066,0.3098658264573427,20.77113279929332,9.8754486290086,84.25,7.981999052581715,0.07981999052581715,1.0,1.3192799621032685
Haram_Makkah,1000,4,D_1000_Haram_Makkah_0004,1000000.0,21.438273272589242,39.79117395927689,0,3,7,14,7,0,16,0.14726544708014655,0.7162618141201818,21.236399452862756,10.060469054947207,80.0,7.579346281383231,0.07579346281383231,1.0,1.3031738512553293
Haram_Makkah,1000,5,D_1000_Haram_Makkah_0005,1000000.0,21.40209014455807,39.80062645860229,0,0,7,0,0,0,79,0.5538920006185832,1.5850780247045628,18.67170457955752,8.938219898380266,33.75,3.1975367124585503,0.031975367124585506,1.0,1.127901468498342
Haram_Makkah,1000,6,D_1000_Haram_Makkah_0006,1000000.0,21.411124471997045,39.800675666347,0,0,4,0,0,0,53,0.7569612632599199,0.7569612632599199,19.030955200986103,8.807969512501929,21.25,2.0132638559924207,0.02013263855992421,1.0,1.0805305542396968
Haram_Makkah,1000,7,D_1000_Haram_Makkah_0007,1000000.0,21.420158789596346,39.80072489993543,0,1,5,7,6,0,11,0.320682985440906,0.7599375529487348,19.435070357927984,8.790271833938126,47.75,4.523922311700616,0.045239223117006164,1.0,1.1809568924680247
Haram_Makkah,1000,8,D_1000_Haram_Makkah_0008,1000000.0,21.42919309735261,39.80077415937476,0,2,7,6,3,0,6,0.426030889401793,0.941164795571852,19.881314437764967,8.88579939543362,43.5,4.121269540502132,0.041212695405021316,1.0,1.1648507816200853
Haram_Makkah,1000,9,D_1000_Haram_Makkah_0009,1000000.0,21.43822739526248,39.80082344467217,0,2,8,12,6,1,22,0.4041437722431649,0.4041437722431649,20.36691846423883,9.090983603397984,74.5,7.058266224538134,0.07058266224538133,1.0,1.2823306489815254
Haram_Makkah,1000,10,D_1000_Haram_Makkah_0010,1000000.0,21.447261683322587,39.80087275583483,0,0,11,0,0,0,2,0.7944521126398847,0.8398626833590516,20.889137648180295,9.398645373595787,22.5,2.131691141639034,0.02131691141639034,1.0,1.0852676456655614
