demand_point_id,HUB_001,HUB_002,HUB_003,HUB_004,HUB_005,HUB_006,HUB_007,HUB_008,HUB_009,HUB_010,HUB_011,HUB_012,HUB_013,HUB_014,HUB_015,HUB_016,HUB_017,HUB_018,HUB_019,HUB_020,HUB_021,HUB_022,HUB_023,HUB_024,HUB_025,HUB_026,HUB_027,HUB_028,HUB_029,HUB_030,HUB_031,HUB_032,HUB_033,HUB_034,HUB_035,HUB_036,HUB_037,HUB_038,HUB_039,HUB_040,HUB_041,HUB_042,HUB_043,HUB_044,HUB_045,HUB_046,HUB_047,HUB_048,HUB_049,HUB_050,HUB_051,HUB_052,HUB_053,HUB_054,HUB_055,HUB_056,HUB_057,HUB_058,HUB_059
D_500_Haram_Makkah_0001,8.300239987024554,1.4967604228510005,8.676695575362578,8.78357904189423,8.09227218656711,11.559722158826066,20.269570200035716,8.014770692786064,9.542558384855399,16.518916506271744,17.176249594649388,10.375888990786999,6.960180450612149,7.69279948967992,3.877150273439882,3.9702467019162895,11.311527629169468,5.8717570611195455,8.121466217685075,7.5818842976381635,3.3838257524213655,1.4829117835022843,9.319262327393465,2.081276579883855,10.197385255506717,10.252783615818899,10.14690060838379,10.228365782677344,3.6377192166816603,4.604544629954662,20.738227360200362,20.575866202151094,30.636505057018933,20.58969540769796,20.999785290158165,20.27423936083006,15.03434844014044,21.385901917986665,21.288018934872994,10.557316967972053,10.040226483132594,11.711682578598653,1.868051109589525,10.24413722721394,14.165288644286802,22.374192124446477,16.15920333396962,7.099211424263398,3.198442287520697,3.6941515533823557,10.526830240654343,12.001384619668165,8.310214706731804,9.470516684204911,5.421213866675074,3.706227779186848,7.819186646359148,10.741333668097086,9.081076822311392
D_500_Haram_Makkah_0002,8.336421881062158,1.9820372090475602,8.456588792776833,8.571019396969968,8.29994667402161,11.636391587116842,20.439695242888426,8.117249819225435,9.60904161386099,16.018844690848354,17.00210098938694,10.429710691380398,6.638996762358687,7.685163325303226,3.7127132616547454,3.9106996459388643,11.414865975173742,5.602450077977874,7.61917427881991,7.603539571780849,3.798849627710027,1.3846958096193316,9.427942569112838,1.5886377087984487,10.374430058087663,10.426961142826322,10.326491248552111,10.408644326368307,3.9966353119205107,4.158597883132457,20.91636284779816,20.76759902802002,30.45206932582862,20.78842759415168,21.18176154996291,20.466789807152814,15.521003049684696,21.55397868678731,21.449740970940915,10.578082815372433,10.03266124178707,11.72103376913584,1.8689961298758615,10.42829328966188,14.268477063175675,22.572950725756304,16.309393078106293,6.947366966333032,2.7830304109110062,3.2747486808351662,10.740530335847438,12.230020837662627,7.994014209375342,9.47991279980112,5.9038662729631115,3.600969964171602,7.864873889934491,10.789542477057175,8.579612554583154
D_500_Haram_Makkah_0003,8.402527238713846,2.4741156070856163,8.26119441675484,8.383202090007696,8.532171359614782,11.734079688606318,20.620654204577388,8.249092564871908,9.701109605085868,15.518916698141101,16.841137407855065,10.507294782184069,6.341375114758826,7.710311018957683,3.6112019544272465,3.9152111155926765,11.539161902738606,5.366745449086251,7.116882840293321,7.6581491060424876,4.232828117276691,1.462988865602578,9.561806232537858,1.1047285726150418,10.572394109788465,10.622054915100502,10.527005096939519,10.609659372249558,4.3838094148039914,3.727014727582212,21.104951256745622,20.969612323461934,30.274844039901687,20.99729646512573,21.37399434274408,20.66975473810096,16.008623416561935,21.732366757094894,21.62192398204208,10.622585205249484,10.050224980130157,11.751865433373894,2.0003183494245262,10.633007075298542,14.388469476020214,22.781051458571678,16.47353425238984,6.829173021397267,2.401058177288881,2.881978320541289,10.973076760542456,12.47470117865456,7.697626346530269,9.515849638996135,6.389546935670347,3.5640481257892285,7.942127645852467,10.860791415500222,8.07825157104327
D_500_Haram_Makkah_0004,8.49785771128978,2.9696162319611314,8.09230269059006,8.221822870016394,8.786999959042134,11.852266723414708,20.8121644690236,8.40891782517046,9.818042585543246,15.01914686292173,16.693740226008146,10.608119868046346,6.070781835666944,7.767924123612902,3.5779760765658235,3.9835633715572736,11.683746533064859,5.169241693576363,6.61459195448805,7.745015804975506,4.680491644708367,1.693484085877419,9.719812834477212,0.6493671800263998,10.790126031740801,10.83693530907258,10.747271074748758,10.830256304225765,4.792397499165135,3.315409131920348,21.303714970248848,21.18161193052715,30.104956527789188,21.216002620348974,21.576209510219698,20.882830474173684,16.497123878950237,21.920814376583724,21.804320128118277,10.690527673050964,10.092786468230363,11.804009219197697,2.239195174397769,10.857115744911905,14.524849398187584,22.99824070830586,16.651214254159306,6.746398387643476,2.071110465231536,2.5282830609513494,11.223298053245188,12.734500830194888,7.4234245621628485,9.578028420848984,6.877614280720566,3.5975667632254456,8.050039112340352,10.954630896292288,7.577014320482929
D_500_Haram_Makkah_0005,8.621443847473556,3.467072001813628,7.951602488099258,8.088464301693584,9.06252583370445,11.990346508166501,21.01393754127105,8.595164707650591,9.958964697492041,14.51955148872381,16.560271672516837,10.731530868208642,5.830980916253312,7.857288467670329,3.614918905589956,4.11257438493219,11.847877080261087,5.014454603906028,6.112301690989667,7.863070613353121,5.138264510042483,2.0248549217399696,9.900806512423616,0.3571085271648182,11.026454820949489,11.070450157001702,10.986101147342845,11.06926441805482,5.217370929351306,2.9322060526729707,21.512371926781523,21.403301089072695,29.942531675016415,21.444245056599,21.788129096795302,21.105710772989017,16.986428482865275,22.119064415503804,21.99667533052934,10.781467047180056,10.160031515836929,11.87718439907673,2.55564283648025,11.099444518722217,14.677159991607002,23.224263476114288,16.842004568329553,6.70035581854408,1.8216783519164246,2.2323142018386917,11.49003950718366,13.008513926110684,7.173953229726363,9.665942691314978,7.367593949614576,3.699611680414534,8.187396105615031,11.070486428213625,7.075927039968973
D_500_Haram_Makkah_0006,8.77209143720701,3.965747133006262,7.840611599461969,7.9845304700898785,9.356920749508891,12.147640677565102,21.225680726809056,8.806156903621535,10.122874080854897,14.020149196794051,16.441070943743302,10.876758972462987,5.6259111776509405,7.9773370127513195,3.719940376982912,4.296783689326168,12.03075356665714,4.906428615973558,5.610012144287236,8.010934768685097,5.60366964328336,2.415943484396958,10.10355193929212,0.5813524751231262,11.280211647355843,11.3214464252587,11.24231222174603,11.325518116343158,5.655036785234214,2.5900428247211997,21.73063712551256,21.63438191355988,29.78769154421572,21.6817225932381,22.009472766883363,21.338088386182694,17.476469662209713,22.326855737026264,22.198730682415057,10.894827438295968,10.251474355612446,11.971005269250936,2.9245886067701243,11.358827299697507,14.844910885004559,23.458864416968943,17.045464944477192,6.6918034946698155,1.6888220542392327,2.0196119930900585,11.77217816847633,13.29586169433875,6.951875192478941,9.77889833158953,7.85912822536244,3.864758483655805,8.352746049476725,11.207675245326717,6.575023955570865
D_500_Haram_Makkah_0007,7.821168180760217,1.0347649589051582,8.769455038534659,8.85683451298907,7.279384311029578,10.972157254838104,19.484369856532155,7.403417906239092,8.98891436887726,17.57007738841647,17.10800452605463,9.841525694872344,7.32976813540914,7.314563155774454,3.96462035076827,3.8163894772807736,10.673011321412012,6.130984816846671,9.138634627903677,7.142718636670624,2.2882033039821796,2.4306879421770313,8.683315891327679,3.0588744345514973,9.426265889663732,9.486586503368875,9.37143006883376,9.451216699786332,3.4895879017714653,5.3638191361607594,19.938621910876197,19.753327488039545,30.569899449162246,19.75540814309194,20.193304808799798,19.450672229432648,13.938322406027801,20.602900150578304,20.51620974045721,10.08958923518867,9.636048028289752,11.260169441935794,1.8429683915570119,9.45990415447543,13.515036932641818,21.538050778951668,15.416206943045838,7.053075500030282,3.910207805870145,4.398367674638001,9.689107978710748,11.133002474827954,8.649322928267313,9.035449295152686,4.6674228658572305,3.6712525172771007,7.32625047429464,10.215868644795046,10.0715310453697
D_500_Haram_Makkah_0008,7.795088906337501,1.3227592147410936,8.492525033505402,8.587515505670224,7.442074520038061,11.007155332911134,19.635609334226434,7.44678350520841,9.003590282412956,17.071238155216044,16.903328629870416,9.847142682111157,6.953305193641754,7.237140144536471,3.6689157145042874,3.617502556127923,10.735570721088266,5.787026522852766,8.637072426574168,7.09493240135688,2.684703955981587,2.1488067604485983,8.742323551779617,2.5572535245554846,9.564905551915384,9.622269330563629,9.512692970189645,9.593576176940944,3.729354553761512,4.88399832334163,20.098746849764414,19.927660822004402,30.368448772573693,19.93715463793135,20.35771156523456,19.62559992379846,14.426971889138727,20.753012152213707,20.659557644245794,10.061287400739685,9.575612922721449,11.225031899710626,1.5462350190880363,9.606640235437599,13.586061439790704,21.721235830018315,15.541129218121347,6.826695284404966,3.434490996221931,3.926020892422828,9.869875735522179,11.334668958554463,8.28529845267313,8.989338159916356,5.122663848175231,3.42048795410103,7.306250733536611,10.21727699477886,9.56923758905056
D_500_Haram_Makkah_0009,7.801329360029674,1.7126713874298765,8.236942005029473,8.339779354939404,7.634402343656547,11.064867260995738,19.798439658184375,7.52350727376363,9.046175000341107,16.57260792846845,16.711247798359352,9.878329660039352,6.593633341856717,7.194035808048746,3.421734340118968,3.4802895661781648,10.821107711404741,5.467629484571399,8.135600774419212,7.082534315542963,3.111911152207208,1.9573188400402848,8.829555763394389,2.055961421612977,9.727534842368966,9.781891273897738,9.677992555600573,9.75973856562548,4.017903262177117,4.409186087202523,20.270056222552242,20.113029560204957,30.174015008401497,20.129796135160746,20.533091681468004,19.811720475837753,14.916527436780603,20.914112567599926,20.814042242883882,10.058020898114217,9.541273079723663,11.21230807108785,1.3746815878335803,9.777007355718672,13.675177860706988,21.91440420202279,15.681152295778793,6.63070551127203,2.967546079487944,3.462114945994308,10.072470722744963,11.554664888974685,7.936381314375828,8.97115630627288,5.585976244754341,3.2289279612701294,7.320740631558422,10.243344801090402,9.066944419732549
D_500_Haram_Makkah_0010,7.839812311163201,2.149742246910337,8.004750920950919,8.115602760262615,7.854190797348367,11.14494015019001,19.972577320101717,7.6325832621582546,9.116277376501722,16.074206133339082,16.532201023309362,9.93484578637857,6.2536503497353735,7.1858676965293276,3.2342207458984116,3.4121987031284404,10.929082762725272,5.17734126965495,7.6342374618755855,7.105709560655551,3.5587835855384826,1.8839911625237138,8.944186700745139,1.5553158284304958,9.912973090064364,9.96430188942703,9.866120706889449,9.948511210752034,4.345527196820086,3.941192953669855,20.452268966851744,20.30913151250471,29.986734636203852,20.333022948964956,20.719166483330422,20.008721520677103,15.406902651876194,21.0859495185701,20.979417498978194,10.079814026031162,9.533310453166413,11.222074159449752,1.3759548967965511,9.969794103098227,13.782035216314421,22.117294300607398,15.835875584958163,6.467869387003448,2.514264954673987,3.0105542580895785,10.295604444865164,11.79196439013397,7.604651211894729,8.981073315853434,6.055507617830666,3.1075405122329673,7.369516675908582,10.293884686079286,8.564651540363698
