location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score,dist_Haram_Makkah_km,dist_Mina_km,dist_Muzdalifah_km,dist_Arafat_km,hajj_zone,flag_possible_duplicate,flag_low_completeness,flag_other_healthcare,flag_seasonal_mismatch,flag_unnamed,needs_manual_review,hub_id,candidate_hub,operational_feasibility,drone_regulatory_approval,landing_takeoff_space,charging_capability,medical_inventory_capability,facility_type_prior,hajj_zone_relevance,osm_completeness_0_1,preliminary_suitability_score,demand_cells_within_5km,uniform_weight_covered_5km,proxy_weight_covered_5km,proxy_coverage_share_5km
OSM_NODE_4646305989,node,4646305989,مجمع الرائد المكي المتخصص في طب الاسنان,,مجمع الرائد المكي المتخصص في طب الاسنان,مجمع الرائد المكي المتخصص في طب الاسنان,مجمع الرائد المكي المتخصص في طب الاسنان,hospital,hospital,,,,21.4681906,39.9438084,OpenStreetMap,True,True,True,مجمع الرائد المكي المتخصص في طب الاسنان,21.46819,39.94381,False,80,13.237647063095576,7.90374157413844,9.534009853390659,13.088762054355634,Greater_Makkah,False,False,False,False,False,False,HUB_011,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,0,0.0,0.0,0.0
OSM_NODE_4853503310,node,4853503310,Mina Al-Jisr Hospital,Mina Al-Jisr Hospital,,Mina Al-Jisr Hospital,Mina Al-Jisr Hospital,hospital,hospital,hospital,,,21.4051802,39.8884633,OpenStreetMap,True,True,True,mina aljisr hospital,21.40518,39.88846,False,80,6.931533951931855,1.2017303803373398,3.4637053003779377,11.15922692911453,Mina,False,False,False,False,False,False,HUB_012,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,213,213.0,292.63778501628667,0.42546970368602316
OSM_NODE_4853590821,node,4853590821,,,,Unnamed OSM feature,Unnamed OSM feature,hospital,hospital,,,,21.4545574,39.8393304,OpenStreetMap,True,True,True,unnamed osm feature,21.45456,39.83933,False,60,3.6429440827827033,7.014142274198296,10.897457410113931,18.41994817457635,Haram_Makkah,False,False,False,False,True,True,HUB_013,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.6,84.5,138,138.0,184.07687296416933,0.26763164774212606
OSM_NODE_5070401203,node,5070401203,مستوصف العبير,,مستوصف العبير,مستوصف العبير,مستوصف العبير,hospital,hospital,,,,21.4163884,39.8628741,OpenStreetMap,True,True,True,مستوصف العبير,21.41639,39.86287,False,80,4.041325280556944,3.0734173780410616,6.357543124232108,14.08051690053313,Greater_Makkah,False,False,False,False,False,False,HUB_014,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,223,223.0,331.27622149837117,0.48164660551710003
OSM_NODE_5075704816,node,5075704816,مستشفى الحرم للطوارئ,Al Haram Emergency Hospital,مستشفى الحرم للطوارئ,Al Haram Emergency Hospital,Al Haram Emergency Hospital,hospital,hospital,hospital,yes,,21.4267071,39.8232661,OpenStreetMap,True,True,True,al haram emergency hospital,21.42671,39.82327,False,80,0.29017718435157525,7.285495452115779,10.519648752593831,18.25743371876925,Haram_Makkah,False,False,False,False,False,False,HUB_015,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,215,215.0,272.80065146579784,0.39662824928109447
OSM_NODE_5076188152,node,5076188152,مستشفى أجياد للطوارئ,Ajyad Emergency Hospital,مستشفى أجياد للطوارئ,Ajyad Emergency Hospital,Ajyad Emergency Hospital,hospital,hospital,,,,21.419720200000004,39.8263838,OpenStreetMap,True,True,True,ajyad emergency hospital,21.41972,39.82638,False,80,0.5580686886136667,6.870367329493173,9.914835218250994,17.641307209702468,Haram_Makkah,False,False,False,False,False,False,HUB_016,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,219,219.0,278.48143322475545,0.4048876083093695
OSM_NODE_5076826198,node,5076826198,مستوصف قوى الامن,Security Forces Health Center,مستوصف قوى الامن,Security Forces Health Center,Security Forces Health Center,hospital,hospital,,,,21.394141199999996,39.8959064,OpenStreetMap,True,True,True,security forces health center,21.39414,39.89591,False,80,8.09632285491086,2.3745271439939977,2.1732008095442534,9.909708629146362,Muzdalifah,False,False,False,False,False,False,HUB_017,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,197,197.0,271.1889250814331,0.39428494030908173
OSM_NODE_5077299107,node,5077299107,مجمع الفهد الطبي,Al Fahd Medical Complex,مجمع الفهد الطبي,Al Fahd Medical Complex,Al Fahd Medical Complex,hospital,hospital,,,,21.4431374,39.8355345,OpenStreetMap,True,True,True,al fahd medical complex,21.44314,39.83553,False,80,2.3345638056532736,6.657258068335795,10.373397500349556,18.02776284103927,Haram_Makkah,False,False,False,False,False,False,HUB_018,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,185,185.0,241.1485342019542,0.35060884357607486
OSM_NODE_5134884137,node,5134884137,مستشفى حراء,Hera General Hospital,مستشفى حراء,Hera General Hospital,Hera General Hospital,hospital,hospital,,,,21.48647619999999,39.7892145,OpenStreetMap,True,True,True,hera general hospital,21.48648,39.78921,False,80,7.785976918837991,13.28664328167675,17.121996965603056,24.696762762013524,Greater_Makkah,False,False,False,False,False,False,HUB_019,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,14,14.0,15.37328990228013,0.02235141678316909
OSM_NODE_5828839701,node,5828839701,البعثة الطبية العراقية,Iraqi medical delegation,,Iraqi medical delegation,Iraqi medical delegation,hospital,hospital,,,,21.412398400000004,39.8618606,OpenStreetMap,True,True,True,iraqi medical delegation,21.4124,39.86186,False,80,4.06326563529864,3.1932027531940435,6.231092213724637,13.968483884978314,Greater_Makkah,False,False,False,False,False,False,HUB_020,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,218,218.0,325.6846905537458,0.4735170093542922
