redundancy,minimum_hubs,minimum_drones,mean_response_min,max_response_min,mean_oneway_distance_km,max_oneway_distance_km
1,7,19,1.837397700234947,3.0289292802718086,0.7536579302114528,1.826036352244628
2,10,21,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301
