p,pmedian_proxy_weighted_mean_km,pcenter_worst_km,mclp_proxy_coverage_5km_pct
1,6.348223882006619,13.31872421948782,48.16466055171002
2,3.869102778703626,7.977337012751319,76.56236384370868
3,2.4406990133621433,4.779377402354336,100.0
4,2.1771696447775715,4.248113172089144,100.0
5,2.007292850670329,3.95452103819854,100.0
6,1.8619171414152478,3.833639409138351,100.0
8,1.6756619754480448,3.729252307226621,100.0
10,1.5226190855381587,3.729252307226621,100.0
