grid_size_m,number_of_cells,mean_nearest_medical_km,max_nearest_medical_km,cells_with_activity_features
250,2192,0.7637069874472558,2.786462244750157,1120
500,556,0.7644833306539431,2.7435181303896305,390
1000,142,0.7592173964407266,2.4437771788936153,126
